epoch,accuracy,loss,val_accuracy,val_loss
0,0.3652620315551758,1.7973625659942627,0.5288461446762085,1.3807016611099243
1,0.609596312046051,1.1875015497207642,0.6907051205635071,0.9869274497032166
2,0.716536819934845,0.8776283264160156,0.7692307829856873,0.7518558502197266
3,0.7928470373153687,0.6762452125549316,0.7708333134651184,0.6925784945487976
4,0.8399433493614197,0.5435697436332703,0.8461538553237915,0.5089156627655029
5,0.8751770257949829,0.44080686569213867,0.8653846383094788,0.4569941759109497
6,0.8973087668418884,0.3671945035457611,0.8669871687889099,0.46923592686653137
7,0.9196175932884216,0.3074704706668854,0.8990384340286255,0.39215707778930664
8,0.9297096133232117,0.2737579643726349,0.8830128312110901,0.3803441524505615
9,0.9332507252693176,0.24650394916534424,0.8878205418586731,0.3590213358402252
