epoch,accuracy,loss,val_accuracy,val_loss
0,0.49398016929626465,1.4593806266784668,0.6474359035491943,1.0589486360549927
1,0.7344192862510681,0.8690119981765747,0.7612179517745972,0.7514873147010803
2,0.8266643285751343,0.6051667332649231,0.8429487347602844,0.5680173635482788
3,0.8765934705734253,0.45656779408454895,0.8301281929016113,0.5720781683921814
4,0.8912889361381531,0.41170555353164673,0.8621794581413269,0.44645956158638
5,0.926699697971344,0.29881104826927185,0.8846153616905212,0.39631178975105286
6,0.9426345825195312,0.24774380028247833,0.8846153616905212,0.4161171019077301
7,0.9458215236663818,0.23105798661708832,0.8878205418586731,0.3689144253730774
8,0.9452903866767883,0.2252538800239563,0.870192289352417,0.41899412870407104
9,0.9594546556472778,0.1905720978975296,0.9054487347602844,0.34959056973457336
